timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-02-09,146.49,149.81,143.9,149.6,149.6,3067123,0.0,1.0
2022-02-10,145.78,152.69,144.29,145.72,145.72,3348835,0.0,1.0
2022-02-11,146.965,150.48,140.16,141.24,141.24,2690370,0.0,1.0
2022-02-14,142.42,147.74,141.1101,142.09,142.09,2538889,0.0,1.0
2022-02-15,144.44,147.145,141.1,146.9,146.9,3043753,0.0,1.0
2022-02-16,144.49,144.69,136.395,138.51,138.51,3928926,0.0,1.0
2022-02-17,137.63,137.735,128.93,129.38,129.38,4944736,0.0,1.0
2022-02-18,130.13,131.94,124.71,126.96,126.96,5435014,0.0,1.0
2022-02-22,125.055,130.73,124.98,126.61,126.61,4414560,0.0,1.0
2022-02-23,127.99,128.15,120.1,120.1,120.1,4634693,0.0,1.0
2022-02-24,114.74,128.74,114.26,126.97,126.97,6998541,0.0,1.0
2022-02-25,129.05,129.06,120.02,125.32,125.32,5242599,0.0,1.0
2022-02-28,126.79,135.09,125.1,132.6,132.6,12033137,0.0,1.0
2022-03-01,128.57,136.0,122.13,122.78,122.78,11541560,0.0,1.0
2022-03-02,122.25,122.89,114.52,121.61,121.61,7224285,0.0,1.0
2022-03-03,122.0,122.06,111.95,113.11,113.11,6211452,0.0,1.0
2022-03-04,114.1,116.19,108.43,108.94,108.94,6227090,0.0,1.0
2022-03-07,111.13,115.24,107.72,107.88,107.88,6240205,0.0,1.0
2022-03-08,106.67,114.29,105.0001,108.49,108.49,5581784,0.0,1.0
2022-03-09,111.84,111.84,108.06,109.08,109.08,6427507,0.0,1.0
2022-03-10,105.835,106.9,101.055,103.33,103.33,5030777,0.0,1.0
2022-03-11,103.48,103.49,97.9,98.12,98.12,6454629,0.0,1.0
2022-03-14,97.5,102.16,94.51,94.64,94.64,6715662,0.0,1.0
2022-03-15,96.09,100.595,95.26,98.97,98.97,7001747,0.0,1.0
2022-03-16,100.55,106.88,100.17,106.84,106.84,8003038,0.0,1.0
2022-03-17,106.46,111.33,105.0,111.29,111.29,4967538,0.0,1.0
2022-03-18,109.49,117.8399,109.21,116.28,116.28,8465814,0.0,1.0
2022-03-21,115.01,119.89,113.35,116.87,116.87,5886350,0.0,1.0
2022-03-22,116.01,122.24,115.4,119.8,119.8,4982005,0.0,1.0
2022-03-23,117.215,120.27,115.95,116.81,116.81,3443344,0.0,1.0
2022-03-24,117.35,117.78,113.97,117.75,117.75,3332021,0.0,1.0
2022-03-25,117.13,117.58,112.45,113.93,113.93,4209359,0.0,1.0
2022-03-28,114.87,118.31,113.63,117.45,117.45,3289344,0.0,1.0
2022-03-29,119.9765,126.53,119.9765,126.26,126.26,4757130,0.0,1.0
2022-03-30,124.26,127.37,121.23,122.39,122.39,3987789,0.0,1.0
2022-03-31,122.75,122.81,117.16,117.23,117.23,2903091,0.0,1.0
2022-04-01,117.56,120.496,116.11,118.02,118.02,2793292,0.0,1.0
2022-04-04,119.39,124.99,118.33,124.28,124.28,3081278,0.0,1.0
2022-04-05,123.92,126.44,120.43,122.02,122.02,4805505,0.0,1.0
2022-04-06,118.03,118.56,113.34,116.09,116.09,5161483,0.0,1.0
2022-04-07,115.14,118.12,111.33,114.32,114.32,3498047,0.0,1.0
2022-04-08,112.37,113.27,109.3876,110.9,110.9,3953271,0.0,1.0
2022-04-11,107.91,111.11,106.4123,109.05,109.05,3902782,0.0,1.0
2022-04-12,111.69,114.7,106.24,106.58,106.58,3249599,0.0,1.0
2022-04-13,106.3,115.825,105.16,114.89,114.89,4677812,0.0,1.0
2022-04-14,114.66,114.66,110.14,110.31,110.31,4499615,0.0,1.0
2022-04-18,109.73,109.93,103.62,105.74,105.74,4152455,0.0,1.0
2022-04-19,105.44,112.33,104.0746,111.18,111.18,3289391,0.0,1.0
2022-04-20,109.53,109.91,103.4,103.7,103.7,4483513,0.0,1.0
2022-04-21,105.2,108.49,100.55,100.95,100.95,4395301,0.0,1.0
2022-04-22,101.155,104.99,99.3,100.17,100.17,3784423,0.0,1.0
2022-04-25,99.51,103.09,98.9002,102.44,102.44,2724189,0.0,1.0
2022-04-26,100.75,101.68,96.0,98.36,98.36,3767530,0.0,1.0
2022-04-27,97.69,102.04,97.297,97.62,97.62,3522690,0.0,1.0
2022-04-28,98.1,103.92,95.72,102.56,102.56,3585167,0.0,1.0
2022-04-29,102.67,107.84,99.395,99.57,99.57,3608956,0.0,1.0
2022-05-02,99.15,105.08,98.17,104.79,104.79,3164651,0.0,1.0
2022-05-03,104.11,106.99,102.13,103.53,103.53,2103242,0.0,1.0
2022-05-04,103.96,109.34,99.3,108.98,108.98,3735968,0.0,1.0
2022-05-05,107.13,107.36,99.32,100.84,100.84,3661612,0.0,1.0
2022-05-06,100.49,102.03,94.01,96.38,96.38,4635546,0.0,1.0
2022-05-09,94.05,96.83,91.65,92.34,92.34,5766253,0.0,1.0
2022-05-10,95.6,98.07,87.34,90.68,90.68,6315123,0.0,1.0
2022-05-11,88.93,94.16,84.17,84.8,84.8,6182562,0.0,1.0
2022-05-12,81.13,87.79,79.03,84.97,84.97,7178844,0.0,1.0
2022-05-13,88.72,95.6284,88.2542,94.84,94.84,5687602,0.0,1.0
2022-05-16,93.43,95.83,88.66,88.92,88.92,4501282,0.0,1.0
2022-05-17,91.36,95.1,86.4091,90.94,90.94,4208820,0.0,1.0
2022-05-18,88.68,91.11,84.04,84.69,84.69,3854185,0.0,1.0
2022-05-19,85.74,93.49,84.685,90.94,90.94,4746869,0.0,1.0
2022-05-20,92.62,94.85,85.55,89.74,89.74,4741373,0.0,1.0
2022-05-23,89.87,90.25,85.57,89.33,89.33,11240310,0.0,1.0
2022-05-24,94.56,97.09,87.33,94.34,94.34,27414949,0.0,1.0
2022-05-25,94.14,104.2655,94.0,102.34,102.34,13892039,0.0,1.0
2022-05-26,101.895,108.17,101.77,107.0,107.0,10633582,0.0,1.0
2022-05-27,108.0,111.24,105.55,110.42,110.42,7097145,0.0,1.0
2022-05-31,112.64,112.87,105.58,107.45,107.45,5930245,0.0,1.0
2022-06-01,107.96,110.89,104.92,107.65,107.65,4700753,0.0,1.0
2022-06-02,107.43,114.08,107.03,112.24,112.24,4991808,0.0,1.0
2022-06-03,109.66,111.8,107.3,109.42,109.42,3882056,0.0,1.0
2022-06-06,112.33,112.91,108.51,111.01,111.01,2867515,0.0,1.0
2022-06-07,110.5,115.32,109.05,115.04,115.04,3951886,0.0,1.0
2022-06-08,115.4,116.9,113.16,115.46,115.46,3583910,0.0,1.0
2022-06-09,112.17,116.1699,110.34,110.4,110.4,4302582,0.0,1.0
2022-06-10,106.9338,110.99,106.12,109.07,109.07,5774878,0.0,1.0
2022-06-13,102.82,106.38,102.12,103.32,103.32,7183928,0.0,1.0
2022-06-14,103.9,109.85,103.78,106.86,106.86,6815042,0.0,1.0
2022-06-15,107.5,114.73,106.13,112.93,112.93,5954516,0.0,1.0
2022-06-16,108.1,109.65,104.15,106.09,106.09,4714553,0.0,1.0
2022-06-17,107.095,111.92,106.3932,110.0,110.0,6143372,0.0,1.0
2022-06-21,112.15,117.3704,110.86,113.82,113.82,6176200,0.0,1.0
2022-06-22,112.03,119.53,111.77,115.17,115.17,5490304,0.0,1.0
2022-06-23,116.24,118.4,110.6701,117.67,117.67,5464375,0.0,1.0
2022-06-24,118.81,122.99,118.12,122.64,122.64,12212797,0.0,1.0
2022-06-27,122.48,123.73,117.68,119.82,119.82,3457164,0.0,1.0
2022-06-28,119.82,122.085,112.86,113.13,113.13,3694904,0.0,1.0
2022-06-29,112.93,113.72,110.04,111.87,111.87,2711793,0.0,1.0
2022-06-30,110.0,111.0,104.78,107.97,107.97,4249588,0.0,1.0
2022-07-01,108.77,111.9787,106.83,110.97,110.97,2800258,0.0,1.0
2022-07-05,110.56,120.75,108.4097,120.42,120.42,5315937,0.0,1.0
2022-07-06,120.68,123.96,116.57,117.06,117.06,4198147,0.0,1.0
2022-07-07,116.5,121.26,116.33,120.74,120.74,3036624,0.0,1.0
2022-07-08,118.62,124.05,117.66,119.8,119.8,3261741,0.0,1.0
2022-07-11,117.16,117.54,107.73,108.38,108.38,5465160,0.0,1.0
2022-07-12,109.79,113.6,106.91,107.99,107.99,4205070,0.0,1.0
2022-07-13,103.635,105.4,99.8,101.01,101.01,7902955,0.0,1.0
2022-07-14,101.35,101.44,96.84,97.35,97.35,5552646,0.0,1.0
2022-07-15,97.86,99.97,96.11,99.85,99.85,4714444,0.0,1.0
2022-07-18,101.98,102.18,98.49,98.92,98.92,6516548,0.0,1.0
2022-07-19,100.4,102.219,97.65,102.08,102.08,2829546,0.0,1.0
2022-07-20,103.49,109.87,103.375,107.09,107.09,4298143,0.0,1.0
2022-07-21,107.5,111.27,107.3,110.85,110.85,2982121,0.0,1.0
2022-07-22,111.0,112.95,105.69,106.55,106.55,2656806,0.0,1.0
2022-07-25,106.39,106.96,103.91,106.1,106.1,2039827,0.0,1.0
2022-07-26,105.03,105.13,100.01,100.33,100.33,2878190,0.0,1.0
2022-07-27,102.16,106.46,100.55,105.91,105.91,3182827,0.0,1.0
2022-07-28,104.46,106.9023,100.81,106.22,106.22,2380026,0.0,1.0
2022-07-29,105.485,105.485,101.01,103.86,103.86,3975872,0.0,1.0
2022-08-01,103.38,107.92,101.85,105.39,105.39,2386198,0.0,1.0
2022-08-02,103.04,109.98,102.9,108.16,108.16,2519945,0.0,1.0
2022-08-03,109.31,114.0,109.22,112.97,112.97,2653527,0.0,1.0
2022-08-04,114.07,115.0,110.14,112.86,112.86,2149790,0.0,1.0
2022-08-05,110.0,114.32,108.74,113.85,113.85,2639924,0.0,1.0
2022-08-08,114.77,119.82,113.82,114.74,114.74,2832491,0.0,1.0
2022-08-09,111.78,112.804,104.91,105.29,105.29,5822801,0.0,1.0
2022-08-10,111.35,112.42,108.8,112.01,112.01,3756635,0.0,1.0
2022-08-11,114.0,114.99,107.24,108.06,108.06,4067818,0.0,1.0
2022-08-12,109.41,110.09,107.28,109.52,109.52,2488947,0.0,1.0
2022-08-15,109.41,113.7899,108.35,113.23,113.23,2737397,0.0,1.0
2022-08-16,107.815,109.93,103.32,109.19,109.19,7520089,0.0,1.0
2022-08-17,106.22,107.35,102.02,102.38,102.38,4257231,0.0,1.0
2022-08-18,101.76,104.57,100.64,103.18,103.18,3091727,0.0,1.0
2022-08-19,100.9,102.15,98.8,99.5,99.5,3747909,0.0,1.0
2022-08-22,98.2,100.1399,96.48,97.44,97.44,8274052,0.0,1.0
2022-08-23,84.56,87.59,81.13,81.32,81.32,31475420,0.0,1.0
2022-08-24,81.64,85.07,80.5,83.61,83.61,11133299,0.0,1.0
2022-08-25,83.6,85.76,82.43,85.72,85.72,5409744,0.0,1.0
2022-08-26,84.15,85.02,80.28,81.41,81.41,5927420,0.0,1.0
2022-08-29,80.37,82.9499,80.12,81.0,81.0,5202716,0.0,1.0
2022-08-30,82.0,82.75,79.8199,81.42,81.42,4142489,0.0,1.0
2022-08-31,82.968,83.47,79.34,80.4,80.4,4837961,0.0,1.0
2022-09-01,79.29,81.24,77.79,81.14,81.14,6795396,0.0,1.0
2022-09-02,82.01,83.31,80.05,80.79,80.79,4570864,0.0,1.0
2022-09-06,80.56,81.08,79.57,80.02,80.02,3570642,0.0,1.0
2022-09-07,79.96,81.36,79.34,81.02,81.02,4329567,0.0,1.0
2022-09-08,80.24,81.47,79.4,80.23,80.23,3674747,0.0,1.0
2022-09-09,81.59,83.7,81.54,82.62,82.62,3966735,0.0,1.0
2022-09-12,82.43,84.78,82.43,84.08,84.08,3928893,0.0,1.0
2022-09-13,80.0,80.15,78.62,78.86,78.86,4654485,0.0,1.0
2022-09-14,78.86,80.41,77.93,79.59,79.59,4196516,0.0,1.0
2022-09-15,78.64,81.97,78.26,80.21,80.21,4247486,0.0,1.0
2022-09-16,78.14,79.23,77.33,78.68,78.68,6150658,0.0,1.0
2022-09-19,78.06,79.0,76.75,78.32,78.32,4515016,0.0,1.0
2022-09-20,77.45,78.84,76.76,77.09,77.09,3157797,0.0,1.0
2022-09-21,77.83,78.83,75.32,75.94,75.94,3274078,0.0,1.0
2022-09-22,75.0,75.77,74.33,74.54,74.54,4109045,0.0,1.0
2022-09-23,74.16,74.95,73.3213,74.45,74.45,3944735,0.0,1.0
2022-09-26,74.82,76.87,73.24,73.33,73.33,3068756,0.0,1.0
2022-09-27,74.9,75.99,72.96,74.26,74.26,3576451,0.0,1.0
2022-09-28,74.31,76.225,74.05,75.89,75.89,2856677,0.0,1.0
2022-09-29,74.27,75.22,73.6,74.47,74.47,2933170,0.0,1.0
2022-09-30,74.6,76.25,73.48,73.59,73.59,3539688,0.0,1.0
2022-10-03,73.91,74.87,71.69,73.94,73.94,4182048,0.0,1.0
2022-10-04,75.83,78.45,75.734,77.54,77.54,4703024,0.0,1.0
2022-10-05,75.58,77.87,74.96,77.52,77.52,2604486,0.0,1.0
2022-10-06,77.73,79.0,76.96,78.35,78.35,2185828,0.0,1.0
2022-10-07,75.64,78.3298,75.36,76.59,76.59,4464224,0.0,1.0
2022-10-10,75.99,76.1964,72.29,73.72,73.72,4777496,0.0,1.0
2022-10-11,71.46,74.55,70.435,73.71,73.71,5389717,0.0,1.0
2022-10-12,74.29,76.55,73.4,75.22,75.22,3941046,0.0,1.0
2022-10-13,71.65,75.42,71.65,74.73,74.73,5754519,0.0,1.0
2022-10-14,75.75,76.9,72.14,72.29,72.29,2834850,0.0,1.0
2022-10-17,75.0641,77.43,74.51,76.69,76.69,3431629,0.0,1.0
2022-10-18,79.52,80.78,77.33,78.23,78.23,3539368,0.0,1.0
2022-10-19,77.52,78.04,75.59,76.33,76.33,1955838,0.0,1.0
2022-10-20,76.67,81.5,76.58,79.96,79.96,4156944,0.0,1.0
2022-10-21,79.64,81.1,77.6,80.98,80.98,3312125,0.0,1.0
2022-10-24,80.4,80.66,78.18,80.61,80.61,2731610,0.0,1.0
2022-10-25,81.54,84.13,81.46,84.09,84.09,2992339,0.0,1.0
2022-10-26,82.35,85.46,82.19,83.37,83.37,2602046,0.0,1.0
2022-10-27,83.68,85.03,82.47,82.61,82.61,2579446,0.0,1.0
2022-10-28,81.735,84.245,81.32,84.21,84.21,2370847,0.0,1.0
2022-10-31,83.69,84.575,82.34,83.44,83.44,1908579,0.0,1.0
2022-11-01,85.5,86.31,82.79,82.89,82.89,1834899,0.0,1.0
2022-11-02,83.28,84.36,78.59,78.6,78.6,3381008,0.0,1.0
2022-11-03,77.8,81.23,77.23,78.39,78.39,3156403,0.0,1.0
2022-11-04,79.44,79.74,75.835,77.46,77.46,3969321,0.0,1.0
2022-11-07,78.07,80.32,77.26,79.61,79.61,3317812,0.0,1.0
2022-11-08,80.22,81.935,78.01,78.31,78.31,3987064,0.0,1.0
2022-11-09,77.53,77.53,70.92,71.84,71.84,6019832,0.0,1.0
2022-11-10,76.87,82.35,76.75,82.23,82.23,4908612,0.0,1.0
2022-11-11,81.46,89.67,80.05,88.32,88.32,5906383,0.0,1.0
2022-11-14,86.72,87.99,84.21,84.35,84.35,2883604,0.0,1.0
2022-11-15,88.25,89.37,85.72,87.44,87.44,2776473,0.0,1.0
2022-11-16,85.06,85.23,83.13,83.5,83.5,2709428,0.0,1.0
2022-11-17,81.2,83.21,80.34,82.59,82.59,2284052,0.0,1.0
2022-11-18,83.34,83.605,80.14,81.64,81.64,3125282,0.0,1.0
2022-11-21,81.21,82.5175,79.77,80.26,80.26,7234041,0.0,1.0
2022-11-22,75.18,77.44,71.9,77.15,77.15,15729440,0.0,1.0
2022-11-23,76.14,77.28,74.85,76.14,76.14,4938113,0.0,1.0
2022-11-25,75.31,76.99,74.83,75.4,75.4,2657967,0.0,1.0
2022-11-28,74.72,76.5,71.3,71.59,71.59,6250485,0.0,1.0
2022-11-29,71.66,72.62,70.29,70.57,70.57,4879279,0.0,1.0
2022-11-30,70.76,75.44,69.54,75.43,75.43,6213776,0.0,1.0
2022-12-01,75.89,81.69,75.8575,77.43,77.43,4777665,0.0,1.0
2022-12-02,74.58,76.36,73.85,74.31,74.31,3296331,0.0,1.0
2022-12-05,74.26,75.22,72.54,72.9,72.9,2942953,0.0,1.0
2022-12-06,72.79,73.0,70.88,71.47,71.47,2661097,0.0,1.0
2022-12-07,71.25,71.465,69.741,69.87,69.87,3422126,0.0,1.0
2022-12-08,70.12,72.41,68.88,72.36,72.36,3056346,0.0,1.0
2022-12-09,72.33,73.74,71.8543,72.16,72.16,2185167,0.0,1.0
2022-12-12,70.91,73.72,70.11,73.69,73.69,2836948,0.0,1.0
2022-12-13,77.53,79.38,73.01,74.05,74.05,4017849,0.0,1.0
2022-12-14,73.65,75.08,72.03,73.22,73.22,3570283,0.0,1.0
2022-12-15,71.68,72.31,69.81,70.2,70.2,3706246,0.0,1.0
2022-12-16,69.82,70.79,69.55,69.86,69.86,4695561,0.0,1.0
2022-12-19,69.41,70.25,68.85,69.09,69.09,3182483,0.0,1.0
2022-12-20,68.45,70.34,67.92,68.56,68.56,2936000,0.0,1.0
2022-12-21,68.71,70.9624,67.88,69.93,69.93,3253741,0.0,1.0
2022-12-22,68.37,68.5816,64.8301,65.94,65.94,4180055,0.0,1.0
2022-12-23,65.61,66.66,65.01,65.89,65.89,2209187,0.0,1.0
2022-12-27,64.75,66.18,63.55,65.46,65.46,3581785,0.0,1.0
2022-12-28,65.25,66.85,64.77,65.36,65.36,2311161,0.0,1.0
2022-12-29,66.28,68.35,66.18,68.0,68.0,2135279,0.0,1.0
2022-12-30,66.55,67.82,66.36,67.74,67.74,1874555,0.0,1.0
